GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
A9043za,05yrs,Zone,55362,0.00,96.69,10.51,81.97,2.24,27.10,15.80,15.38,16.29,23.01,10.58
A9043za,10yrs,Zone,55362,0.00,96.69,10.51,81.97,2.24,25.43,14.41,16.71,14.76,26.79,14.26
A9044za,01yr,Zone,52362,0.00,18.57,14.64,2.98,0.41,9.69,3.56,10.10,34.92,36.20,5.60
A9044za,05yrs,Zone,52362,0.00,18.57,14.64,2.98,0.41,9.69,3.56,10.10,34.92,36.20,5.60
A9044za,10yrs,Zone,52362,0.00,18.57,14.64,2.98,0.41,10.57,4.54,12.53,33.62,36.78,7.42
A9045za,01yr,Zone,57255,5.60,18.57,9.70,4.85,2.64,8.58,6.45,5.44,37.31,7.87,4.14
A9045za,05yrs,Zone,57255,5.60,18.57,9.70,4.85,2.64,8.58,6.45,5.44,37.31,7.87,4.14
A9045za,10yrs,Zone,57255,5.60,18.57,9.70,4.85,2.64,8.64,7.16,6.13,33.97,8.09,5.21
A9046za,01yr,Zone,61525,0.00,22.05,7.95,1.52,11.12,21.56,3.20,2.95,70.29,3.21,2.94
A9046za,05yrs,Zone,61525,0.00,22.05,7.95,1.52,11.12,21.56,3.20,2.95,70.29,3.21,2.94
A9046za,10yrs,Zone,61525,0.00,22.05,7.95,1.52,11.12,23.12,3.87,3.94,66.34,3.50,3.31
A9047za,01yr,Zone,54094,0.42,43.13,20.06,17.75,3.44,14.59,8.62,10.23,38.32,10.94,5.02
A9047za,05yrs,Zone,54094,0.42,43.13,20.06,17.75,3.44,14.59,8.62,10.23,38.32,10.94,5.02
A9047za,10yrs,Zone,54094,0.42,43.13,20.06,17.75,3.44,15.20,9.71,12.10,33.30,12.34,7.79
A9048za,01yr,Zone,55902,0.00,53.15,30.40,2.19,18.06,45.10,5.25,12.29,45.43,8.41,9.19
A9048za,05yrs,Zone,55902,0.00,53.15,30.40,2.19,18.06,45.10,5.25,12.29,45.43,8.41,9.19
A9048za,10yrs,Zone,55902,0.00,53.15,30.40,2.19,18.06,47.04,4.79,13.23,42.94,10.13,13.55
A9049za,01yr,Zone,57901,6.78,19.38,4.43,10.20,2.94,5.43,9.83,6.16,35.05,5.82,5.02
A9049za,05yrs,Zone,57901,6.78,19.38,4.43,10.20,2.94,5.43,9.83,6.16,35.05,5.82,5.02
A9049za,10yrs,Zone,57901,6.78,19.38,4.43,10.20,2.94,5.58,10.04,7.45,32.02,6.07,4.85
A9050za,01yr,Zone,53339,21.35,16.33,7.22,4.78,2.62,9.72,9.41,6.51,32.54,9.51,5.20
A9050za,05yrs,Zone,53339,21.35,16.33,7.22,4.78,2.62,9.72,9.41,6.51,32.54,9.51,5.20
A9050za,10yrs,Zone,53339,21.35,16.33,7.22,4.78,2.62,9.20,10.06,8.63,31.07,9.79,6.14
A9051za,01yr,Zone,60945,0.00,18.88,7.93,1.89,7.76,18.81,5.16,4.42,55.74,3.11,3.75
A9051za,05yrs,Zone,60945,0.00,18.88,7.93,1.89,7.76,18.81,5.16,4.42,55.74,3.11,3.75
A9051za,10yrs,Zone,60945,0.00,18.88,7.93,1.89,7.76,18.93,5.19,5.10,52.64,3.55,4.49
A9052za,01yr,Zone,56278,4.19,33.08,6.84,17.41,6.27,12.49,8.74,7.56,36.44,5.38,4.27
A9052za,05yrs,Zone,56278,4.19,33.08,6.84,17.41,6.27,12.49,8.74,7.56,36.44,5.38,4.27
