GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
34005,Both,KS,10yrs,4589436,17,0.3,0.2,0.6,3133794,,,,,807974,,,,,377873,,,,,258992,,,,,10803,,,,,Burlington County,County
34005,Female,KS,10yrs,2325433,,,,,1592487,,,,,411410,,,,,181293,,,,,134755,,,,,5488,,,,,Burlington County,County
34005,Male,KS,10yrs,2264003,,,,,1541307,,,,,396564,,,,,196580,,,,,124237,,,,,5315,,,,,Burlington County,County
34007,Both,KS,10yrs,5196371,16,0.3,0.2,0.5,2975841,,,,,1002428,,,,,892863,,,,,313710,,,,,11529,,,,,Camden County,County
34007,Female,KS,10yrs,2680525,,,,,1523960,,,,,536800,,,,,450282,,,,,163557,,,,,5926,,,,,Camden County,County
34007,Male,KS,10yrs,2515846,,,,,1451881,,,,,465628,,,,,442581,,,,,150153,,,,,5603,,,,,Camden County,County
34009,Both,KS,10yrs,958394,,,,,829226,,,,,44691,,,,,71962,,,,,10796,,,,,1719,,,,,Cape May County,County
34009,Female,KS,10yrs,491527,,,,,428304,,,,,21666,,,,,34640,,,,,6042,,,,,875,,,,,Cape May County,County
34009,Male,KS,10yrs,466867,,,,,400922,,,,,23025,,,,,37322,,,,,4754,,,,,844,,,,,Cape May County,County
34011,Both,KS,10yrs,1555956,,,,,713215,,,,,303978,,,,,505227,,,,,21928,,,,,11608,,,,,Cumberland County,County
34011,Female,KS,10yrs,756795,,,,,364315,,,,,133787,,,,,241166,,,,,11513,,,,,6014,,,,,Cumberland County,County
34011,Male,KS,10yrs,799161,,,,,348900,,,,,170191,,,,,264061,,,,,10415,,,,,5594,,,,,Cumberland County,County
34013,Both,KS,10yrs,8385485,63,0.7,0.6,1.0,2624316,,,,,3291007,39,1.2,0.8,1.6,1963334,,,,,485095,,,,,21733,,,,,Essex County,County
34013,Female,KS,10yrs,4324944,,,,,1329738,,,,,1762239,,,,,968945,,,,,252227,,,,,11795,,,,,Essex County,County
34013,Male,KS,10yrs,4060541,50,1.3,0.9,1.7,1294578,,,,,1528768,30,1.9,1.3,2.8,994389,,,,,232868,,,,,9938,,,,,Essex County,County
34015,Both,KS,10yrs,2990932,,,,,2359252,,,,,327254,,,,,200679,,,,,98361,,,,,5386,,,,,Gloucester County,County
34015,Female,KS,10yrs,1529710,,,,,1203398,,,,,172674,,,,,99297,,,,,51500,,,,,2841,,,,,Gloucester County,County
34015,Male,KS,10yrs,1461222,,,,,1155854,,,,,154580,,,,,101382,,,,,46861,,,,,2545,,,,,Gloucester County,County
34017,Both,KS,10yrs,7021222,49,0.7,0.5,0.9,2130540,,,,,818114,17,2.1,1.2,3.3,2907937,23,0.8,0.5,1.2,1148036,,,,,16595,,,,,Hudson County,County
34017,Female,KS,10yrs,3520432,,,,,1037613,,,,,428706,,,,,1473955,,,,,571960,,,,,8198,,,,,Hudson County,County
34017,Male,KS,10yrs,3500790,43,1.3,0.9,1.7,1092927,,,,,389408,,,,,1433982,21,1.6,1.0,2.6,576076,,,,,8397,,,,,Hudson County,County
34019,Both,KS,10yrs,1283845,,,,,1095997,,,,,31317,,,,,96803,,,,,58429,,,,,1299,,,,,Hunterdon County,County
34019,Female,KS,10yrs,650475,,,,,554039,,,,,16916,,,,,48508,,,,,30348,,,,,664,,,,,Hunterdon County,County
34019,Male,KS,10yrs,633370,,,,,541958,,,,,14401,,,,,48295,,,,,28081,,,,,635,,,,,Hunterdon County,County
34021,Both,KS,10yrs,3814598,18,0.5,0.3,0.8,1858508,,,,,754208,,,,,757716,,,,,436682,,,,,7484,,,,,Mercer County,County
34021,Female,KS,10yrs,1933365,,,,,952174,,,,,396813,,,,,358895,,,,,221567,,,,,3916,,,,,Mercer County,County
34021,Male,KS,10yrs,1881233,16,0.9,0.5,1.4,906334,,,,,357395,,,,,398821,,,,,215115,,,,,3568,,,,,Mercer County,County
34023,Both,KS,10yrs,8529687,27,0.3,0.2,0.5,3691178,,,,,858735,,,,,1827784,,,,,2131907,,,,,20083,,,,,Middlesex County,County
34023,Female,KS,10yrs,4306983,,,,,1876252,,,,,447643,,,,,915426,,,,,1057333,,,,,10329,,,,,Middlesex County,County
34023,Male,KS,10yrs,4222704,23,0.5,0.3,0.8,1814926,,,,,411092,,,,,912358,,,,,1074574,,,,,9754,,,,,Middlesex County,County
34025,Both,KS,10yrs,6403447,26,0.3,0.2,0.5,4822025,22,0.4,0.2,0.6,453582,,,,,754426,,,,,365322,,,,,8092,,,,,Monmouth County,County
34025,Female,KS,10yrs,3269850,,,,,2466090,,,,,240157,,,,,370927,,,,,188538,,,,,4138,,,,,Monmouth County,County
34025,Male,KS,10yrs,3133597,21,0.6,0.4,1.0,2355935,17,0.6,0.3,1.0,213425,,,,,383499,,,,,176784,,,,,3954,,,,,Monmouth County,County
34027,Both,KS,10yrs,5065758,,,,,3614538,,,,,175873,,,,,718790,,,,,550831,,,,,5726,,,,,Morris County,County
34027,Female,KS,10yrs,2564542,,,,,1835724,,,,,90002,,,,,354998,,,,,280899,,,,,2919,,,,,Morris County,County
34027,Male,KS,10yrs,2501216,,,,,1778814,,,,,85871,,,,,363792,,,,,269932,,,,,2807,,,,,Morris County,County
34029,Both,KS,10yrs,6196338,16,0.2,0.1,0.3,5244747,,,,,204778,,,,,611784,,,,,128492,,,,,6537,,,,,Ocean County,County
34029,Female,KS,10yrs,3191732,,,,,2715666,,,,,104561,,,,,299555,,,,,68811,,,,,3139,,,,,Ocean County,County
34029,Male,KS,10yrs,3004606,,,,,2529081,,,,,100217,,,,,312229,,,,,59681,,,,,3398,,,,,Ocean County,County
34031,Both,KS,10yrs,5186817,25,0.5,0.3,0.7,2182009,,,,,554310,,,,,2145583,,,,,294463,,,,,10452,,,,,Passaic County,County
34031,Female,KS,10yrs,2649044,,,,,1111740,,,,,300416,,,,,1079752,,,,,151714,,,,,5422,,,,,Passaic County,County
34031,Male,KS,10yrs,2537773,16,0.7,0.4,1.1,1070269,,,,,253894,,,,,1065831,,,,,142749,,,,,5030,,,,,Passaic County,County
34033,Both,KS,10yrs,649941,,,,,487198,,,,,92291,,,,,60290,,,,,7867,,,,,2295,,,,,Salem County,County
34033,Female,KS,10yrs,331075,,,,,248566,,,,,48826,,,,,28182,,,,,4365,,,,,1136,,,,,Salem County,County
34033,Male,KS,10yrs,318866,,,,,238632,,,,,43465,,,,,32108,,,,,3502,,,,,1159,,,,,Salem County,County
34035,Both,KS,10yrs,3415612,,,,,1916838,,,,,327194,,,,,536265,,,,,630458,,,,,4857,,,,,Somerset County,County
